YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
201611,104361000000000.0,342697554713.8238,0.00328377032333749,1141016540046.3845,0.01093336150522115,3767009709795.599,0.03609595260485813,3160706028386.7715,0.030286275796387267,7621090129350.417,0.07302622751171814,0.0,0.0
201612,106368400000000.0,518480503816.28687,0.004874384721555339,576380657116.9838,0.005418720758392378,2423221664163.964,0.02278140560696564,2258853242870.6455,0.021236130682332776,4738383220086.119,0.04454690697694164,0.0,0.0
201701,102657700000000.0,266017837439.4731,0.00259130915108631,1163249502148.359,0.01133134194656961,3346718981998.355,0.03260075943644125,2886796573453.46,0.028120604430582997,5929030104960.351,0.05775533744629337,0.0,0.0
201702,104913150000000.0,272074781090.03488,0.0025933334485718413,1355256829209.0664,0.012917892840021164,2764773491650.4077,0.02635297378498699,3134052120998.417,0.029872824531514085,5864994093504.073,0.055903326642123254,0.0,0.0
201703,106992600000000.0,292353668319.07806,0.0027324662483113604,1055853310779.5051,0.009868470443558762,2356792599471.0635,0.02202762246614311,2774463031493.689,0.02593135442538726,4602227775034.662,0.043014449364111744,0.0,0.0
201704,104972750000000.0,165106461040.89923,0.0015728506783036476,1681263666533.6755,0.016016191502401106,3520175177277.0186,0.033534180797178494,3236919765393.272,0.030835809916318967,4635410929755.132,0.04415823087187038,0.0,0.0
201705,105612750000000.0,258266853266.70636,0.002445413581851683,1503155643755.3564,0.014232710006655033,4056549476275.7905,0.03840965675333509,2729169159875.3667,0.0258412848815637,4358745866826.777,0.04127101952015052,0.0,0.0
201706,103386650000000.0,352737878196.61365,0.0034118319744049514,1759101190276.8176,0.017014780827861408,5259872515689.524,0.05087574184567857,3545284936613.486,0.034291515748053406,6753275979223.557,0.06532058035755638,0.0,0.0
201707,107050050000000.0,382387009452.64417,0.003572039522192135,874232750593.9985,0.008166579563428495,2926565724364.5215,0.027338293857541603,3637703751980.1904,0.033981336318667676,4765521763608.644,0.04451676354759894,0.0,0.0
201708,106421400000000.0,281643953448.8311,0.002646497353434846,1696331405143.9895,0.015939758405207876,2435322688034.9067,0.022883768565672945,3695258712615.3296,0.03472289137913361,4769126240756.94,0.0448136017826954,0.0,0.0
