YYYYMM,cp_denom_prev_balance_total_amt,cp_bucket_issue_amt_ultra,cp_rollover_ultra,cp_bucket_issue_amt_short,cp_rollover_short,cp_bucket_issue_amt_main,cp_rollover_main,cp_bucket_issue_amt_mid,cp_rollover_mid,cp_bucket_issue_amt_long,cp_rollover_long,cp_bucket_issue_amt_ultra_long,cp_rollover_ultra_long
201710,41724526896374.0,1150300000000.0,0.027568916547738374,4049099999999.999,0.09704364078366289,4944899999999.999,0.1185130274162492,1033999999999.9998,0.024781587160185577,1345049999999.999,0.03223643501915628,519999999999.9998,0.012462693736263538
201711,42187796896374.0,1585999999999.999,0.037593809505997555,4044500000000.0,0.09586895494767163,4826500000000.0,0.11440512079489111,1105299999999.999,0.02619951932344205,1938304989842.0,0.045944683828905875,794999999999.9993,0.018844311826776827
201712,43714115550329.0,2015199999999.9998,0.04609952585406553,3467100000000.0,0.07931305383516803,4435500000000.0,0.10146608124538889,919699999999.9989,0.021038970786018272,1319115886424.999,0.030175971075207333,149999999999.9996,0.003431385906168029
201801,42594565100867.0,1875899999999.999,0.04404082998752852,4853900000000.0,0.11395585301799925,6792400000000.0,0.1594663540739319,972299999999.9985,0.022826855907497168,1006299999999.9993,0.023625079810464276,400000000000.0,0.009390869446671685
201802,46996695100867.0,1184499999999.9995,0.025203899922276615,5141600000000.0,0.10940343760268256,5916700000000.0,0.1258960866780364,936499999999.9998,0.019926933117105996,1222699999999.9993,0.026016723035008536,249999999999.9991,0.00531952298908327
201803,48290995100867.0,1606799999999.999,0.03327328411112305,4709300000000.0,0.09751921637074426,4356199999999.9995,0.09020729415289663,1346499999999.9998,0.027883045217592238,2782100000000.0,0.05761115492006192,139999999999.9988,0.002899091222029618
201804,47875695100867.0,1702499999999.9995,0.03556084139171419,4016700000000.0,0.08389852077421348,6623899999999.999,0.13835621573837042,1244699999999.9998,0.025998578138188934,2235750000000.0,0.04669906087607931,339999999999.9987,0.007101724565746128
201805,49846645100867.0,1540999999999.9988,0.030914818778309226,4485699999999.999,0.08999000817252549,5388200000000.0,0.1080955396114769,1627399999999.9995,0.03264813502908531,1780849999999.9993,0.03572657691197405,429999999999.9988,0.008626458192519754
201806,50529145100867.0,1295999999999.999,0.02564856376281264,3983599999999.999,0.07883766867711456,4173999999999.9995,0.08260579100770063,757599999999.9996,0.014993327088508378,1932999999999.9988,0.0382551495011704,409999999999.9999,0.008114128968173755
201807,49326245100867.0,2203699999999.9995,0.04467601366156423,4300500000000.0,0.0871848240466293,6917499999999.999,0.14023974429544428,1072099999999.9988,0.021734879632691818,1999699999999.999,0.04054028430323091,399999999999.999,0.008109273251633912
201808,52579045100867.0,2601999999999.9985,0.0494873955015416,4492600000000.0,0.08544468602237737,5228900000000.0,0.09944836369639164,1175199999999.999,0.022351109605461827,1642330000000.0,0.031235447445828925,214999999999.99942,0.004089081488405619
201809,52599045100867.0,1041499999999.9999,0.01980073969028827,4493400000000.0,0.08542740636038532,4104100000000.0,0.07802613131340574,695499999999.9991,0.013222673504172324,1148300000000.0,0.021831194802072032,64999999999.99989,0.0012357638788946092
201810,50808895100867.0,1099699999999.9998,0.021643847948609192,4991200000000.0,0.09823476755578632,6216900000000.0,0.12235849623689052,948500000000.0,0.018667991069615187,985899999999.9993,0.019404082652117658,484999999999.99963,0.009545572660794263
201811,50944195100867.0,1366599999999.9995,0.026825431185912324,5420900000000.0,0.10640859060128215,4814699999999.999,0.09450929571989762,1449599999999.9995,0.028454664896164574,2207000000000.0,0.04332191323526161,0.0,0.0
201812,51235940111025.0,745799999999.9994,0.014556188456460417,4789600000000.0,0.0934812553379765,4786499999999.999,0.09342075093436288,1135999999999.9998,0.022171936291953666,1976149999999.9993,0.038569605548718515,0.0,0.0
