YYYYMM,abstb_denom_prev_balance_total_amt,abstb_bucket_issue_amt_ultra,abstb_rollover_ultra,abstb_bucket_issue_amt_short,abstb_rollover_short,abstb_bucket_issue_amt_main,abstb_rollover_main,abstb_bucket_issue_amt_mid,abstb_rollover_mid,abstb_bucket_issue_amt_long,abstb_rollover_long,abstb_bucket_issue_amt_ultra_long,abstb_rollover_ultra_long
201905,18332172070000.0,2789456000000,0.15216178363091265,10521274100000,0.5739240314691199,277480000000,0.015136231480943108,20338527680000,1.1094445111216982,600000000,3.272934585759646e-05,0,0.0
201906,18931213890000.0,3038971120000,0.16052700781143622,14184765800000,0.7492792529005651,3080000000,0.0001626942687297481,16883640250000,0.8918413973928219,5300000000,0.00027996091697002107,0,0.0
201907,19159373585000.0,1738558140000,0.09074190929504755,13531700900000,0.7062705281029678,758606000000,0.03959450952999411,16185226570000,0.8447680451657105,6000000000,0.0003131626393410607,0,0.0
201908,18135775805000.0,1949456580000,0.10749231799957179,11693364170000,0.6447677946468747,377400000000,0.020809697035180128,18735339480000,1.0330597202704006,6470000000,0.0003567534176407404,0,0.0
201909,18308845115000.0,1903978200000,0.10399226101050557,12687356841322,0.6929632514574909,662400000000,0.0361792344541334,17530359000000,0.9574803265792988,6470000000,0.00035338110947802403,0,0.0
201910,18416457020661.0,1416997020000,0.07694189052814576,15071277900000,0.8183592470089052,1108116000000,0.06016987951356931,15282359220000,0.8298208066217662,5770000000,0.00031330673394599026,0,0.0
201911,18462910070000.0,2612372100000,0.14149297646446263,9595266680000,0.5197050001121519,178070000000,0.009644741772822815,21239816440000,1.1504045873305822,5000000000,0.00027081321314154024,0,0.0
201912,18859762610000.0,1662123200000,0.08813065330518495,13254241480000,0.7027788076702626,308070000000,0.016334776124735113,20904754520000,1.1084314766992711,0,0.0,0,0.0
202001,20192494600000.0,2144910180000,0.1062231399581506,13590142210000,0.6730293843931497,5770000000,0.000285749735943968,20743526770000,1.0272889596315653,610000000,3.0209244181251385e-05,0,0.0
202002,20335229580000.0,2793034480000,0.13734954252726955,13427151360000,0.6602901288710211,64800000000,0.003186588070966839,21161179350000,1.0406166926589475,850000000,4.179938056052181e-05,0,0.0
202003,20847907595000.0,2534813660000,0.12158599842451,14706977440000,0.7054414153066952,750800000000,0.03601320643708465,17614831990000,0.844920858831157,1150000000,5.5161411031762584e-05,0,0.0
202004,19900306545000.0,2197925070000,0.11044679462750456,11854737670000,0.5957062843827665,60410000000,0.003035631630266427,19027512980000,0.9561417024895382,540000000,2.7135260393045366e-05,0,0.0
202005,18680382860000.0,2429981770000,0.13008201107073028,12168176200000,0.6513879448400127,1050000000,5.620869806947843e-05,20810287810000,1.1140182707154644,100000000,5.353209339950327e-06,0,0.0
202006,20193517890000.0,2360468550000,0.11689238907545296,14064166770000,0.6964693743116792,1100050000000,0.05447540175972776,19037374380000,0.9427468004189339,310000000,1.535146088406491e-05,0,0.0
202007,20801044850000.0,2504386330000,0.12039714101188527,13347181306000,0.6416591763658449,502656000000,0.024164939964542213,19543180350000,0.9395287828534248,0,0.0,0,0.0
202008,20465611993000.0,2077447290000,0.10150917014895837,14228520330000,0.6952404030168599,684660000000,0.033454166933008365,19013647464000,0.929053451736668,100000000,4.886245279848153e-06,0,0.0
202009,20512810042000.0,2052182960000,0.10004397036769479,13330242930000,0.649849674554891,40410000000,0.0019699885055855576,19028176504000,0.9276240780780297,220000000,1.0725005474605857e-05,0,0.0
202010,19763338697000.0,2559422870000,0.12950356765319773,17135989104000,0.867059425875304,212700000000,0.010762351607741614,15257452097143,0.7720078237316766,520000000,2.6311343845912737e-05,0,0.0
202011,20782759535571.5,1971593311605,0.0948667720583711,9084462497143,0.4371153157786459,300000000,1.4435041674159003e-05,23463570390000,1.1289920546807106,400000000,1.9246722232212002e-05,0,0.0
202012,20573105599374.0,2076013810000,0.10090911165415731,13456934681110,0.6541032230700001,701000000,3.407361113342704e-05,18959776577143,0.9215806765566745,100000000,4.860714854982459e-06,0,0.0
202101,21299161784126.5,2237113870000,0.10503295353468983,14425665620864,0.6772879499706383,701000000,3.2912093306997185e-05,17519524947143,0.8225452778240162,400000000,1.8780081772894255e-05,0,0.0
